Most Popular Baby Names for Your Requested Year

Gender		Name		Rank
Male		Aaron		30
Female		Abbey		545
Female		Abbie		784
Female		Abby		260
Male		Abdul		980
Male		Abel		370
Female		Abigail		86
Male		Abraham		254
Male		Adam		36
Male		Adan		498
Male		Addison		634
Male		Adolfo		677
Female		Adrian		702
Male		Adrian		96
Female		Adriana		141
Female		Adrianna	289
Female		Adrianne	822
Female		Adrienne	279
Male		Agustin		618
Male		Ahmad		579
Male		Ahmed		724
Male		Aidan		633
Female		Aileen		795
Female		Aimee		314
Female		Aisha		571
Female		Aja			958
Male		Akeem		562
Female		Alaina		436
Male		Alan		129
Female		Alana		386
Female		Alanna		502
Female		Alayna		852
Male		Albert		205
Male		Alberto		225
Male		Aldo		836
Male		Alec		172
Female		Alecia		751
Female		Alejandra	149
Male		Alejandro	113
Female		Alesha		782
Female		Alessandra	807
Female		Alex		617
Male		Alex		54
Female		Alexa		140
Female		Alexander	927
Male		Alexander	23
Female		Alexandra	29
Male		Alexandre	987
Female		Alexandrea	508
Female		Alexandria	73
Male		Alexandro	882
Female		Alexia		522
Female		Alexis		40
Male		Alexis		331
Female		Alexus		616
Male		Alfonso		420
Male		Alfred		403
Male		Alfredo		274
Female		Ali			771
Male		Ali			477
Female		Alice		372
Female		Alicia		71
Female		Alina		639
Female		Alisa		513
Female		Alisha		162
Female		Alison		147
Female		Alissa		272
Male		Allan		385
Male		Allen		166
Female		Allie		561
Female		Allison		48
Female		Allyson		229
Female		Allyssa		763
Female		Alma		368
Male		Alonso		829
Male		Alonzo		506
Male		Alphonso	983
Male		Alton		769
Male		Alvaro		576
Male		Alvin		369
Female		Alycia		686
Female		Alysa		864
Female		Alysha		482
Female		Alysia		664
Female		Alyson		399
Female		Alyssa		30
Female		Amanda		3
Female		Amber		19
Female		Amelia		214
Female		Amie		860
Male		Amir		651
Male		Amos		791
Female		Amy			51
Female		Ana			137
Female		Anais		850
Female		Anastasia	352
Male		Anderson	852
Male		Andre		140
Female		Andrea		39
Male		Andreas		916
Male		Andres		186
Male		Andrew		5
Female		Andria		978
Male		Andy		252
Female		Angel		180
Male		Angel		114
Female		Angela		69
Female		Angelica	100
Female		Angelina	284
Female		Angelique	313
Male		Angelo		334
Female		Angie		652
Female		Anika		962
Female		Anissa		854
Female		Anita		454
Female		Anjelica	734
Female		Ann			295
Female		Anna		49
Female		Anne		182
Female		Annette		548
Female		Annie		353
Female		Annmarie	945
Male		Anthony		19
Male		Antoine		446
Female		Antoinette	476
Male		Anton		695
Female		Antonia		653
Male		Antonio		85
Male		Antony		844
Male		Antwan		610
Male		Antwon		727
Female		April		103
Female		Araceli		523
Male		Ari			845
Female		Ariana		207
Female		Arianna		396
Male		Aric		720
Female		Ariel		87
Male		Ariel		472
Female		Arielle		283
Female		Arlene		619
Male		Armand		988
Male		Armando		233
Male		Arnold		577
Male		Arnulfo		996
Male		Aron		555
Male		Arron		667
Male		Arthur		218
Male		Arturo		268
Male		Asa			846
Female		Asha		842
Female		Ashely		774
Male		Asher		966
Female		Ashlee		154
Female		Ashleigh	197
Female		Ashley		1
Male		Ashley		806
Female		Ashli		865
Female		Ashlie		505
Female		Ashly		590
Female		Ashlyn		371
Female		Ashlynn		817
Female		Ashton		354
Male		Ashton		391
Female		Asia		251
Female		Athena		803
Female		Aubree		857
Female		Aubrey		252
Male		Aubrey		711
Female		Audra		712
Female		Audrey		175
Male		August		814
Male		Augustus	891
Female		Aurora		680
Male		Austen		639
Male		Austin		38
Female		Autumn		170
Female		Ava			833
Female		Avery		543
Male		Avery		461
Male		Axel		908
Female		Ayana		922
Female		Ayanna		930
Female		Ayla		783
Female		Baby		725
Male		Baby		559
Female		Bailey		178
Male		Bailey		989
Female		Barbara		249
Male		Barrett		885
Male		Barry		459
Female		Beatrice	742
Female		Beatriz		489
Male		Beau		392
Female		Becky		993
Female		Belinda		735
Male		Ben			536
Male		Benito		739
Male		Benjamin	33
Male		Bennett		671
Male		Benny		722
Female		Berenice	823
Female		Bernadette	840
Male		Bernard		418
Male		Bernardo	824
Female		Beth		515
Female		Bethany		114
Female		Betsy		837
Female		Betty		721
Female		Beverly		531
Female		Bianca		97
Male		Bill		898
Female		Billie		890
Male		Billy		230
Male		Blaine		438
Female		Blair		524
Male		Blair		652
Female		Blake		996
Male		Blake		84
Female		Blanca		419
Male		Bo			622
Female		Bobbi		831
Female		Bobbie		764
Male		Bobby		221
Female		Bonnie		449
Male		Brad		462
Male		Braden		412
Male		Bradford	628
Male		Bradley		72
Male		Bradly		707
Male		Brady		238
Male		Brandan		658
Male		Branden		251
Female		Brandi		110
